user_id,location,age
8,"timmins, ontario, canada",36.0
11400,"ottawa, ontario, canada",49.0
11676,"unknown, unknown, others",37.0
67544,"toronto, ontario, canada",30.0
85526,"victoria, britishcolumbia, canada",36.0
96054,"ottawa, ontario, canada",29.0
116866,"ottawa, ontario, canada",40.0
123629,"kingston, ontario, canada",36.0
177458,"ottawa, ontario, canada",29.0
200273,"comber, ontario, canada",36.0
210926,"guelph, ontario, canada",37.0
219008,"halifax, novascotia, canada",60.0
263325,"fredericton, newbrunswick, canada",27.0
2954,"wichita, kansas, usa",71.0
152827,"ottawa, ontario, canada",40.0
35704,"kansascity, missouri, usa",53.0
83160,"oregoncity, oregon, usa",65.0
110912,"milpitas, california, usa",36.0
137688,"medford, newyork, usa",46.0
157969,"denver, colorado, usa",30.0
192665,"vacaville, california, usa",47.0
197659,"indiana, pennsylvania, usa",49.0
208059,"payson, arizona, usa",44.0
209163,"columbus, ohio, usa",34.0
29526,"knoxville, tennessee, usa",26.0
36836,"raleigh, northcarolina, usa",56.0
46398,"sanantonio, texas, usa",37.0
49300,"loveland, colorado, usa",36.0
49635,"seattle, washington, usa",32.0
67958,"idahofalls, idaho, usa",39.0
113270,"evanston, illinois, usa",25.0
113519,"pleasanton, california, usa",37.0
115097,"seattle, washington, usa",27.0
136509,"santabarbara, california, usa",31.0
148712,"homer, alaska, usa",38.0
178269,"harborcity, california, usa",31.0
180297,"annarbor, michigan, usa",41.0
188589,"klang, selangor, malaysia",20.0
194722,"dallas, texas, usa",31.0
198013,"sandy, oregon, usa",31.0
200674,"pittsburg, missouri, usa",58.0
207148,"sandiego, california, usa",42.0
211919,"jacksonville, florida, usa",38.0
212449,"austin, texas, usa",31.0
213191,"sandiego, california, usa",35.0
230522,"coloradosprings, colorado, usa",52.0
236322,"houston, texas, usa",38.0
238557,"kualalumpur, selangor, malaysia",21.0
242247,"livonia, michigan, usa",42.0
245827,"albuquerque, newmexico, usa",35.0
248583,"vancouver, britishcolumbia, canada",36.0
252282,"sammamish, washington, usa",42.0
252921,"renton, washington, usa",22.0
255661,"parker, colorado, usa",34.0
52614,"toccoa, ga, usa",33.0
225910,"annville, pennsylvania, usa",19.0
274634,"wahiawa, hawaii, usa",33.0
98499,"toronto, ontario, canada",36.0
166596,"greenwood, britishcolumbia, canada",57.0
189238,"dunedin, otago, newzealand",36.0
223066,"ottawa, ontario, canada",51.0
92861,"vancouver, britishcolumbia, canada",32.0
3363,"knoxville, tennessee, usa",29.0
61501,"timmins, ontario, canada",36.0
148514,"barstow, california, usa",38.0
174304,"stlouis, missouri, usa",26.0
177090,"ashland, missouri, usa",37.0
256233,"glenallen, virginia, usa",42.0
263256,"knoxville, tennessee, usa",38.0
176875,"tampere, pirkanmaa, finland",31.0
213915,"sheffield, syorkshire, unitedkingdom",29.0
35826,"prosperity, southcarolina, usa",35.0
226745,"humble, texas, usa",38.0
9,"germantown, tennessee, usa",40.0
243,"ardenhills, minnesota, usa",38.0
388,"nashville, tennessee, usa",35.0
2977,"richland, washington, usa",25.0
