2022-10-31 02:09:30,565 INFO    MainThread:25086 [wandb_setup.py:_flush():68] Configure stats pid to 25086
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/.config/wandb/settings
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_setup.py:_flush():68] Loading settings from /opt/ml/input/code/private_sj/wandb/settings
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'private_sj/main.py', 'program': 'main.py'}
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_init.py:_log_setup():476] Logging user logs to /opt/ml/input/code/private_sj/wandb/run-20221031_020930-g383tn58/logs/debug.log
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_init.py:_log_setup():477] Logging internal logs to /opt/ml/input/code/private_sj/wandb/run-20221031_020930-g383tn58/logs/debug-internal.log
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_init.py:init():516] calling init triggers
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_init.py:init():569] starting backend
2022-10-31 02:09:30,566 INFO    MainThread:25086 [wandb_init.py:init():573] setting up manager
2022-10-31 02:09:30,570 INFO    MainThread:25086 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-31 02:09:30,575 INFO    MainThread:25086 [wandb_init.py:init():580] backend started and connected
2022-10-31 02:09:30,579 INFO    MainThread:25086 [wandb_init.py:init():658] updated telemetry
2022-10-31 02:09:30,602 INFO    MainThread:25086 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-31 02:09:31,039 INFO    MainThread:25086 [wandb_run.py:_on_init():2000] communicating current version
2022-10-31 02:09:31,081 INFO    MainThread:25086 [wandb_run.py:_on_init():2004] got version response 
2022-10-31 02:09:31,081 INFO    MainThread:25086 [wandb_init.py:init():728] starting run threads in backend
2022-10-31 02:09:34,633 INFO    MainThread:25086 [wandb_run.py:_console_start():1980] atexit reg
2022-10-31 02:09:34,633 INFO    MainThread:25086 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-31 02:09:34,634 INFO    MainThread:25086 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-31 02:09:34,634 INFO    MainThread:25086 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-31 02:09:34,635 INFO    MainThread:25086 [wandb_init.py:init():765] run started, returning control to user process
2022-10-31 02:31:37,177 INFO    MainThread:25086 [wandb_run.py:_finish():1746] finishing run ai-tech-4-recsys13/test-project/g383tn58
2022-10-31 02:31:37,177 INFO    MainThread:25086 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-10-31 02:31:37,177 INFO    MainThread:25086 [wandb_run.py:_restore():1932] restore
2022-10-31 02:31:37,177 INFO    MainThread:25086 [wandb_run.py:_restore():1938] restore done
2022-10-31 02:31:42,732 INFO    MainThread:25086 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-10-31 02:31:42,733 INFO    MainThread:25086 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-10-31 02:31:42,735 INFO    MainThread:25086 [wandb_run.py:_footer_sync_info():3333] logging synced files
